left,top,right,bottom,id
-48.960335,-26.108503,-48.913796,-26.173922,1
-48.913796,-26.108503,-48.867256,-26.173922,2
-48.867256,-26.108503,-48.820717,-26.173922,3
-48.820717,-26.108503,-48.774177,-26.173922,4
-48.774177,-26.108503,-48.727638,-26.173922,5
-48.960335,-26.173922,-48.913796,-26.239341,6
-48.913796,-26.173922,-48.867256,-26.239341,7
-48.867256,-26.173922,-48.820717,-26.239341,8
-48.820717,-26.173922,-48.774177,-26.239341,9
-48.774177,-26.173922,-48.727638,-26.239341,10
-48.960335,-26.239341,-48.913796,-26.304759,11
-48.913796,-26.239341,-48.867256,-26.304759,12
-48.867256,-26.239341,-48.820717,-26.304759,13
-48.820717,-26.239341,-48.774177,-26.304759,14
-48.774177,-26.239341,-48.727638,-26.304759,15
-48.960335,-26.304759,-48.913796,-26.370178,16
-48.913796,-26.304759,-48.867256,-26.370178,17
-48.867256,-26.304759,-48.820717,-26.370178,18
-48.820717,-26.304759,-48.774177,-26.370178,19
-48.774177,-26.304759,-48.727638,-26.370178,20
-48.960335,-26.370178,-48.913796,-26.435597,21
-48.913796,-26.370178,-48.867256,-26.435597,22
-48.867256,-26.370178,-48.820717,-26.435597,23
-48.820717,-26.370178,-48.774177,-26.435597,24
-48.774177,-26.370178,-48.727638,-26.435597,25
